,winner,loser,court,Type,set1.1,set1.2,set2.1,set2.2,set3.1,set3.2
1990,Maximilian Marterer,Brydan Klein,Outdoor,Clay,6,2,6,2,0,0
1991,Peter Polansky,Yuki Bhambri,Outdoor,Clay,7,6,7,6,0,0
1992,Ricardo Ojeda Lara,Duckhee Lee,Outdoor,Clay,6,2,6,3,0,0
1993,Teymuraz Gabashvili,Roberto Carballes Baena,Outdoor,Clay,2,6,6,2,7,5
1994,Laslo Djere,Benjamin Becker,Outdoor,Clay,6,2,2,6,6,3
1995,Arthur De Greef,Enrique Lopez-Perez,Outdoor,Clay,7,6,6,0,0,0
1996,Leonardo Mayer,Joao Souza,Outdoor,Clay,6,2,6,1,0,0
1997,Peter Gojowczyk,Stefano Travaglia,Outdoor,Clay,6,4,6,7,6,4
1998,Bjorn Fratangelo,Matthew Ebden,Outdoor,Clay,6,2,6,2,0,0
1999,Mirza Basic,Blaz Rola,Outdoor,Clay,7,6,6,3,0,0
2000,Simone Bolelli,Christian Garin,Outdoor,Clay,7,6,4,6,7,6
2001,Alexander Bublik,Mohamed Safwat,Outdoor,Clay,6,7,6,3,6,1
2002,Salvatore Caruso,Inigo Cervantes,Outdoor,Clay,7,5,6,4,0,0
2003,Joris De Loore,Ti Chen,Outdoor,Clay,7,5,7,6,0,0
2004,Matteo Donati,Jonathan Eysseric,Outdoor,Clay,6,4,6,3,0,0
2005,Maximo Gonzalez,Marcelo Arevalo,Outdoor,Clay,7,5,6,1,0,0
2006,Alejandro Gonzalez,Kristijan Mesaros,Outdoor,Clay,7,6,4,6,7,6
2007,Maxime Hamou,Adrian Menendez-Maceiras,Outdoor,Clay,7,5,6,2,0,0
2008,Uladzimir Ignatik,Di Wu,Outdoor,Clay,6,1,6,2,0,0
2009,Ilya Ivashka,Kimmer Coppejans,Outdoor,Clay,6,2,6,2,0,0
2010,Maxime Janvier,Geoffrey Blancaneaux,Outdoor,Clay,6,4,6,3,0,0
2011,Tobias Kamke,Rajeev Ram,Outdoor,Clay,2,6,7,5,6,3
2012,Bradley Klahn,John-Patrick Smith,Outdoor,Clay,6,2,6,3,0,0
2013,Jozef Kovalik,Igor Sijsling,Outdoor,Clay,6,4,(,R,0,0
2014,Stefan Kozlov,Corentin Moutet,Outdoor,Clay,2,6,7,5,6,4
2015,Filip Krajinovic,Sam Groth,Outdoor,Clay,3,6,7,6,6,2
2016,Denis Kudla,Vaclav Safranek,Outdoor,Clay,6,4,6,1,0,0
2017,Mackenzie McDonald,Akira Santillan,Outdoor,Clay,6,1,6,4,0,0
2018,Vincent Millot,Miljan Zekic,Outdoor,Clay,6,3,6,4,0,0
2019,Stefano Napolitano,Lorenzo Giustino,Outdoor,Clay,6,4,6,4,0,0
2020,Reilly Opelka,Daniel Munoz de la Nava,Outdoor,Clay,4,6,7,6,6,4
2021,Oscar Otte,Mitchell Krueger,Outdoor,Clay,6,2,6,1,0,0
2022,Matija Pecotic,Gregoire Barrere,Outdoor,Clay,5,7,7,5,6,3
2023,Marc Polmans,Michael Mmoh,Outdoor,Clay,4,6,7,6,4,1
2024,Dmitry Popko,Ruben Ramirez Hidalgo,Outdoor,Clay,6,2,6,4,0,0
2025,Roberto Quiroz,Aldin Setkic,Outdoor,Clay,6,4,4,6,6,4
2026,Gleb Sakharov,Federico Gaio,Outdoor,Clay,6,4,6,7,7,6
2027,Jan Satral,Lukas Rosol,Outdoor,Clay,6,2,3,6,7,6
2028,Tim Smyczek,James McGee,Outdoor,Clay,6,2,6,0,0,0
2029,Pedro Sousa,Andrew Whittington,Outdoor,Clay,6,4,6,1,0,0
2030,Yasutaka Uchiyama,Daniel Gimeno-Traver,Outdoor,Clay,7,6,6,4,0,0
2031,Gilles Muller,Ivo Karlovic,Outdoor,Grass,7,6,7,6,0,0
2032,Ivo Karlovic,Marin Cilic,Outdoor,Grass,7,6,5,7,7,6
2033,Gilles Muller,Alexander Zverev,Outdoor,Grass,7,6,6,2,0,0
2034,Marin Cilic,Vasek Pospisil,Outdoor,Grass,6,3,7,5,0,0
2035,Alexander Zverev,Julien Benneteau,Outdoor,Grass,6,0,6,4,0,0
2036,Ivo Karlovic,Daniil Medvedev,Outdoor,Grass,6,4,6,4,0,0
2037,Gilles Muller,Aljaz Bedene,Outdoor,Grass,6,3,3,6,6,4
2038,Marin Cilic,Janko Tipsarevic,Outdoor,Grass,6,7,6,2,6,4
2039,Alexander Zverev,Adrian Mannarino,Outdoor,Grass,6,2,6,3,0,0
2040,Ivo Karlovic,Stefan Kozlov,Outdoor,Grass,6,4,6,1,0,0
2041,Gilles Muller,Andreas Seppi,Outdoor,Grass,7,6,6,4,0,0
2042,Julien Benneteau,Nicolas Mahut,Outdoor,Grass,3,6,6,2,6,2
2043,Aljaz Bedene,Ernesto Escobedo,Outdoor,Grass,6,3,6,4,0,0
2044,Daniil Medvedev,Thanasi Kokkinakis,Outdoor,Grass,6,3,7,6,0,0
2045,Vasek Pospisil,Alexandr Dolgopolov,Outdoor,Grass,7,6,4,2,(,R
2046,Alexandr Dolgopolov,Steve Darcis,Outdoor,Grass,6,2,7,6,0,0
2047,Daniil Medvedev,Robin Haase,Outdoor,Grass,7,6,3,6,6,3
2048,Nicolas Mahut,Dennis Novikov,Outdoor,Grass,6,3,6,4,0,0
2049,Aljaz Bedene,Denis Istomin,Outdoor,Grass,3,6,6,2,6,1
2050,Julien Benneteau,Evgeny Donskoy,Outdoor,Grass,3,6,6,4,7,6
2051,Ernesto Escobedo,Jason Jung,Outdoor,Grass,6,4,6,2,0,0
2052,Thanasi Kokkinakis,Mikhail Youzhny,Outdoor,Grass,6,4,7,5,0,0
2053,Stefan Kozlov,Dustin Brown,Outdoor,Grass,6,3,3,6,6,3
2054,Adrian Mannarino,Jordan Thompson,Outdoor,Grass,6,4,6,1,0,0
2055,Vasek Pospisil,Tallon Griekspoor,Outdoor,Grass,7,5,6,1,0,0
2056,Andreas Seppi,Tatsuma Ito,Outdoor,Grass,6,3,3,6,6,3
2057,Janko Tipsarevic,Yuichi Sugita,Outdoor,Grass,7,6,3,6,6,0
2058,Daniil Medvedev,Tim Smyczek,Outdoor,Grass,5,7,6,4,6,4
2059,Vasek Pospisil,Stefanos Tsitsipas,Outdoor,Grass,6,1,7,6,0,0
2060,Tatsuma Ito,Julien Benneteau,Outdoor,Grass,6,4,6,4,0,0
2061,Dennis Novikov,Jason Jung,Outdoor,Grass,7,6,6,2,0,0
2062,Daniil Medvedev,Rajeev Ram,Outdoor,Grass,6,4,6,2,0,0
2063,Vasek Pospisil,Matwe Middelkoop,Outdoor,Grass,6,7,6,1,6,3
2064,Julien Benneteau,Aldin Setkic,Outdoor,Grass,6,4,6,4,0,0
2065,Jason Jung,Mitchell Krueger,Outdoor,Grass,6,1,6,4,0,0
2066,Tim Smyczek,Egor Gerasimov,Outdoor,Grass,6,3,4,6,6,4
2067,Stefanos Tsitsipas,Benjamin Becker,Outdoor,Grass,6,7,6,3,7,5
2068,Tatsuma Ito,Soonwoo Kwon,Outdoor,Grass,7,6,5,7,6,2
2069,Dennis Novikov,Ilya Ivashka,Outdoor,Grass,7,5,7,6,0,0
2070,Lucas Pouille,Feliciano Lopez,Outdoor,Grass,4,6,7,6,6,4
2071,Lucas Pouille,Benoit Paire,Outdoor,Grass,7,6,7,5,0,0
2072,Feliciano Lopez,Mischa Zverev,Outdoor,Grass,6,7,7,6,7,5
2073,Feliciano Lopez,Tomas Berdych,Outdoor,Grass,6,7,6,3,6,4
2074,Lucas Pouille,Philipp Kohlschreiber,Outdoor,Grass,6,4,2,6,6,3
2075,Mischa Zverev,Tommy Haas,Outdoor,Grass,6,4,6,4,0,0
2076,Benoit Paire,Jerzy Janowicz,Outdoor,Grass,6,1,7,6,0,0
2077,Tommy Haas,Roger Federer,Outdoor,Grass,2,6,7,6,6,4
2078,Jerzy Janowicz,Grigor Dimitrov,Outdoor,Grass,7,6,6,3,0,0
2079,Tomas Berdych,Bernard Tomic,Outdoor,Grass,7,6,6,2,0,0
2080,Lucas Pouille,Jan-Lennard Struff,Outdoor,Grass,4,6,7,6,7,6
2081,Philipp Kohlschreiber,Steve Johnson,Outdoor,Grass,7,6,5,7,7,6
2082,Mischa Zverev,Yannick Hanfmann,Outdoor,Grass,7,6,6,2,0,0
2083,Feliciano Lopez,Jeremy Chardy,Outdoor,Grass,6,3,3,6,6,2
2084,Benoit Paire,Peter Gojowczyk,Outdoor,Grass,6,2,6,4,0,0
2085,Steve Johnson,Maximilian Marterer,Outdoor,Grass,3,6,7,6,6,4
2086,Mischa Zverev,Malek Jaziri,Outdoor,Grass,6,3,6,1,0,0
2087,Feliciano Lopez,Gilles Simon,Outdoor,Grass,6,3,6,3,0,0
2088,Benoit Paire,Viktor Troicki,Outdoor,Grass,6,4,6,4,0,0
2089,Jeremy Chardy,Florian Mayer,Outdoor,Grass,7,6,4,6,7,6
2090,Peter Gojowczyk,Nikoloz Basilashvili,Outdoor,Grass,2,6,6,3,6,1
2091,Tommy Haas,Pierre-Hugues Herbert,Outdoor,Grass,6,3,4,6,7,5
2092,Yannick Hanfmann,Marton Fucsovics,Outdoor,Grass,6,3,7,5,0,0
2093,Jerzy Janowicz,Andrey Kuznetsov,Outdoor,Grass,6,4,3,6,6,3
2094,Philipp Kohlschreiber,Marcos Baghdatis,Outdoor,Grass,6,1,(,R,0,0
2095,Jan-Lennard Struff,Lukas Lacko,Outdoor,Grass,6,4,7,6,0,0
2096,Bernard Tomic,Stephane Robert,Outdoor,Grass,6,1,5,7,6,2
2097,Lukas Lacko,Alexander Bublik,Outdoor,Grass,6,3,7,5,0,0
2098,Peter Gojowczyk,Ruben Bemelmans,Outdoor,Grass,6,4,7,6,0,0
2099,Marton Fucsovics,Marco Chiudinelli,Outdoor,Grass,7,5,7,5,0,0
2100,Yannick Hanfmann,Yannick Maden,Outdoor,Grass,6,4,6,1,0,0
2101,Lukas Lacko,Daniel Brands,Outdoor,Grass,6,3,6,4,0,0
2102,Ruben Bemelmans,Yasutaka Uchiyama,Outdoor,Grass,1,6,6,3,7,6
2103,Marco Chiudinelli,Taylor Fritz,Outdoor,Grass,7,5,4,6,6,3
2104,Peter Gojowczyk,Daniel Masur,Outdoor,Grass,5,7,6,3,6,2
2105,Alexander Bublik,Mirza Basic,Outdoor,Grass,7,5,6,3,0,0
2106,Marton Fucsovics,Daniel Altmaier,Outdoor,Grass,6,3,6,4,0,0
2107,Yannick Maden,Vincent Millot,Outdoor,Grass,7,5,5,7,6,1
2108,Yannick Hanfmann,Lukas Rosol,Outdoor,Grass,6,3,2,6,6,4
2109,Roger Federer,Alexander Zverev,Outdoor,Grass,6,1,6,3,0,0
2110,Roger Federer,Karen Khachanov,Outdoor,Grass,6,4,7,6,0,0
2111,Alexander Zverev,Richard Gasquet,Outdoor,Grass,4,6,6,4,6,3
2112,Roger Federer,Florian Mayer,Outdoor,Grass,6,3,6,4,0,0
2113,Alexander Zverev,Roberto Bautista Agut,Outdoor,Grass,6,7,7,6,6,1
2114,Richard Gasquet,Robin Haase,Outdoor,Grass,6,1,3,6,6,1
2115,Karen Khachanov,Andrey Rublev,Outdoor,Grass,7,6,4,6,6,3
2116,Roger Federer,Mischa Zverev,Outdoor,Grass,7,6,6,4,0,0
2117,Robin Haase,Dominic Thiem,Outdoor,Grass,6,3,7,6,0,0
2118,Karen Khachanov,Kei Nishikori,Outdoor,Grass,3,2,(,R,0,0
2119,Alexander Zverev,Philipp Kohlschreiber,Outdoor,Grass,6,3,6,4,0,0
2120,Florian Mayer,Lucas Pouille,Outdoor,Grass,6,7,6,4,6,3
2121,Roberto Bautista Agut,Dustin Brown,Outdoor,Grass,6,4,1,6,7,6
2122,Richard Gasquet,Bernard Tomic,Outdoor,Grass,6,3,6,3,0,0
2123,Andrey Rublev,Mikhail Youzhny,Outdoor,Grass,6,0,3,6,6,3
2124,Roger Federer,Yuichi Sugita,Outdoor,Grass,6,3,6,1,0,0
2125,Dominic Thiem,Maximilian Marterer,Outdoor,Grass,7,5,6,3,0,0
2126,Kei Nishikori,Fernando Verdasco,Outdoor,Grass,6,7,6,3,6,4
2127,Alexander Zverev,Paolo Lorenzi,Outdoor,Grass,6,3,6,2,0,0
2128,Richard Gasquet,Gael Monfils,Outdoor,Grass,3,6,6,4,6,3
2129,Lucas Pouille,Jan-Lennard Struff,Outdoor,Grass,1,6,6,3,6,4
2130,Roberto Bautista Agut,Carlos Berlocq,Outdoor,Grass,6,0,4,6,6,2
2131,Andrey Rublev,Albert Ramos-Vinolas,Outdoor,Grass,6,7,7,5,6,4
2132,Dustin Brown,Vasek Pospisil,Outdoor,Grass,6,1,6,7,7,6
2133,Robin Haase,David Ferrer,Outdoor,Grass,3,6,7,5,6,3
2134,Karen Khachanov,Gilles Simon,Outdoor,Grass,6,2,6,7,6,3
2135,Philipp Kohlschreiber,Joao Sousa,Outdoor,Grass,3,6,6,4,6,4
2136,Florian Mayer,Benoit Paire,Outdoor,Grass,6,0,6,4,0,0
2137,Bernard Tomic,Tommy Haas,Outdoor,Grass,6,4,6,4,0,0
2138,Mikhail Youzhny,Ivo Karlovic,Outdoor,Grass,6,3,7,6,0,0
2139,Mischa Zverev,Lukas Lacko,Outdoor,Grass,6,4,6,4,0,0
2140,Mikhail Youzhny,Yuichi Sugita,Outdoor,Grass,7,6,6,7,7,6
2141,Lukas Lacko,Andreas Seppi,Outdoor,Grass,6,4,7,5,0,0
2142,Vasek Pospisil,Ernesto Escobedo,Outdoor,Grass,4,2,(,R,0,0
2143,Maximilian Marterer,Alexander Bublik,Outdoor,Grass,6,0,6,3,0,0
2144,Yuichi Sugita,Yannick Hanfmann,Outdoor,Grass,7,5,6,1,0,0
2145,Maximilian Marterer,Denis Istomin,Outdoor,Grass,7,6,7,6,0,0
2146,Andreas Seppi,Daniel Masur,Outdoor,Grass,6,3,6,3,0,0
2147,Ernesto Escobedo,Luca Vanni,Outdoor,Grass,6,3,7,6,0,0
2148,Alexander Bublik,Andrey Kuznetsov,Outdoor,Grass,2,6,6,4,6,4
2149,Vasek Pospisil,Daniel Altmaier,Outdoor,Grass,6,2,6,1,0,0
2150,Mikhail Youzhny,Benjamin Becker,Outdoor,Grass,6,3,6,4,0,0
2151,Lukas Lacko,Ruben Bemelmans,Outdoor,Grass,6,4,6,3,0,0
2152,Feliciano Lopez,Marin Cilic,Outdoor,Grass,4,6,7,6,7,6
2153,Marin Cilic,Gilles Muller,Outdoor,Grass,6,3,5,7,6,4
2154,Feliciano Lopez,Grigor Dimitrov,Outdoor,Grass,7,5,3,6,6,2
2155,Marin Cilic,Donald Young,Outdoor,Grass,6,4,7,5,0,0
2156,Grigor Dimitrov,Daniil Medvedev,Outdoor,Grass,6,3,3,6,6,3
2157,Feliciano Lopez,Tomas Berdych,Outdoor,Grass,7,6,6,7,7,5
2158,Gilles Muller,Sam Querrey,Outdoor,Grass,6,4,7,6,0,0
2159,Marin Cilic,Stefan Kozlov,Outdoor,Grass,6,0,6,4,0,0
2160,Gilles Muller,Jo-Wilfried Tsonga,Outdoor,Grass,6,4,6,4,0,0
2161,Grigor Dimitrov,Julien Benneteau,Outdoor,Grass,4,6,6,3,6,4
2162,Tomas Berdych,Denis Shapovalov,Outdoor,Grass,7,6,6,7,7,5
2163,Feliciano Lopez,Jeremy Chardy,Outdoor,Grass,6,1,7,6,0,0
2164,Daniil Medvedev,Thanasi Kokkinakis,Outdoor,Grass,6,2,6,2,0,0
2165,Sam Querrey,Jordan Thompson,Outdoor,Grass,7,6,3,6,6,3
2166,Donald Young,Viktor Troicki,Outdoor,Grass,6,3,6,4,0,0
2167,Jordan Thompson,Andy Murray,Outdoor,Grass,7,6,6,2,0,0
2168,Feliciano Lopez,Stan Wawrinka,Outdoor,Grass,7,6,7,5,0,0
2169,Thanasi Kokkinakis,Milos Raonic,Outdoor,Grass,7,6,7,6,0,0
2170,Marin Cilic,John Isner,Outdoor,Grass,7,5,6,3,0,0
2171,Jo-Wilfried Tsonga,Adrian Mannarino,Outdoor,Grass,6,2,6,2,0,0
2172,Grigor Dimitrov,Ryan Harrison,Outdoor,Grass,6,3,6,1,0,0
2173,Tomas Berdych,Steve Darcis,Outdoor,Grass,7,5,6,3,0,0
2174,Donald Young,Nick Kyrgios,Outdoor,Grass,7,6,(,R,0,0
2175,Julien Benneteau,James Ward,Outdoor,Grass,6,2,6,2,0,0
2176,Jeremy Chardy,Liam Broady,Outdoor,Grass,6,4,6,4,0,0
2177,Stefan Kozlov,Steve Johnson,Outdoor,Grass,3,6,6,1,6,1
2178,Daniil Medvedev,Nicolas Mahut,Outdoor,Grass,6,7,6,4,6,4
2179,Gilles Muller,Nikoloz Basilashvili,Outdoor,Grass,6,4,6,7,6,4
2180,Sam Querrey,Cameron Norrie,Outdoor,Grass,6,1,6,4,0,0
2181,Denis Shapovalov,Kyle Edmund,Outdoor,Grass,7,6,4,6,6,4
2182,Viktor Troicki,Janko Tipsarevic,Outdoor,Grass,5,7,7,6,7,6
2183,Stefan Kozlov,Pierre-Hugues Herbert,Outdoor,Grass,6,4,6,2,0,0
2184,Jeremy Chardy,Jordan Thompson,Outdoor,Grass,4,6,6,4,6,3
2185,Julien Benneteau,Tobias Kamke,Outdoor,Grass,7,5,6,4,0,0
2186,Denis Shapovalov,Liam Broady,Outdoor,Grass,6,4,6,4,0,0
2187,Liam Broady,Frances Tiafoe,Outdoor,Grass,6,1,6,7,6,2
2188,Tobias Kamke,Jared Donaldson,Outdoor,Grass,6,1,7,6,0,0
2189,Pierre-Hugues Herbert,Stefano Napolitano,Outdoor,Grass,6,1,6,4,0,0
2190,Jeremy Chardy,Edward Corrie,Outdoor,Grass,6,4,5,7,6,3
2191,Jordan Thompson,Denis Kudla,Outdoor,Grass,5,7,7,6,6,2
2192,Julien Benneteau,Akira Santillan,Outdoor,Grass,6,3,6,1,0,0
2193,Denis Shapovalov,Reilly Opelka,Outdoor,Grass,6,3,3,6,7,6
2194,Stefan Kozlov,Kenny De Schepper,Outdoor,Grass,6,7,6,3,6,4
2195,Yuichi Sugita,Adrian Mannarino,Outdoor,Grass,6,1,7,6,0,0
2196,Adrian Mannarino,Andreas Seppi,Outdoor,Grass,6,4,6,4,0,0
2197,Yuichi Sugita,Marcos Baghdatis,Outdoor,Grass,6,3,6,7,4,1
2198,Adrian Mannarino,Fernando Verdasco,Outdoor,Grass,2,6,7,5,6,2
2199,Marcos Baghdatis,Ramkumar Ramanathan,Outdoor,Grass,6,7,6,3,7,6
2200,Andreas Seppi,Radu Albot,Outdoor,Grass,6,4,7,6,0,0
2201,Yuichi Sugita,Daniel Altmaier,Outdoor,Grass,6,3,6,0,0,0
2202,Ramkumar Ramanathan,Dominic Thiem,Outdoor,Grass,6,3,6,2,0,0
2203,Radu Albot,Paolo Lorenzi,Outdoor,Grass,6,3,6,4,0,0
2204,Fernando Verdasco,Steve Darcis,Outdoor,Grass,6,3,6,4,0,0
2205,Yuichi Sugita,David Ferrer,Outdoor,Grass,6,3,3,6,7,6
2206,Daniel Altmaier,Marsel Ilhan,Outdoor,Grass,6,3,3,6,7,6
2207,Marcos Baghdatis,Carlos Berlocq,Outdoor,Grass,6,4,3,6,7,5
2208,Adrian Mannarino,Mohamed Safwat,Outdoor,Grass,6,4,6,4,0,0
2209,Andreas Seppi,Janko Tipsarevic,Outdoor,Grass,3,6,6,4,6,4
2210,Carlos Berlocq,Viktor Troicki,Outdoor,Grass,3,6,6,2,6,4
2211,Adrian Mannarino,Borna Coric,Outdoor,Grass,7,5,6,4,0,0
2212,Marsel Ilhan,Martin Klizan,Outdoor,Grass,6,6,(,R,0,0
2213,Radu Albot,Joao Sousa,Outdoor,Grass,7,6,6,2,0,0
2214,Daniel Altmaier,Victor Estrella Burgos,Outdoor,Grass,7,5,6,7,7,6
2215,Marcos Baghdatis,Nikoloz Basilashvili,Outdoor,Grass,6,2,6,1,0,0
2216,Steve Darcis,Denis Istomin,Outdoor,Grass,6,4,6,7,6,4
2217,Ramkumar Ramanathan,Rogerio Dutra Silva,Outdoor,Grass,6,3,6,4,0,0
2218,Mohamed Safwat,Cem Ilkel,Outdoor,Grass,4,6,6,3,7,6
2219,Andreas Seppi,Kamil Majchrzak,Outdoor,Grass,6,2,7,6,0,0
2220,Yuichi Sugita,Matthew Ebden,Outdoor,Grass,6,1,6,3,0,0
2221,Janko Tipsarevic,Lloyd Harris,Outdoor,Grass,7,5,6,3,0,0
2222,Ramkumar Ramanathan,Yannick Mertens,Outdoor,Grass,6,3,6,4,0,0
2223,Matthew Ebden,Daniel Altmaier,Outdoor,Grass,6,4,5,7,6,4
2224,Kamil Majchrzak,Lloyd Harris,Outdoor,Grass,7,6,6,1,0,0
2225,Mohamed Safwat,Alexey Vatutin,Outdoor,Grass,6,4,6,4,0,0
2226,Ramkumar Ramanathan,Andrey Yakovlev,Outdoor,Grass,6,0,6,0,0,0
2227,Daniel Altmaier,Anil Yuksel,Outdoor,Grass,6,3,6,4,0,0
2228,Lloyd Harris,Alexander Kudryavtsev,Outdoor,Grass,7,6,7,6,0,0
2229,Alexey Vatutin,Roman Jebavy,Outdoor,Grass,6,4,6,3,0,0
2230,Kamil Majchrzak,Jaume Munar,Outdoor,Grass,6,4,6,2,0,0
2231,Mohamed Safwat,Danilo Petrovic,Outdoor,Grass,7,6,3,6,6,3
2232,Yannick Mertens,Altug Celikbilek,Outdoor,Grass,6,2,6,4,0,0
2233,Matthew Ebden,Sarp Agabigun,Outdoor,Grass,6,1,6,3,0,0
2234,Novak Djokovic,Gael Monfils,Outdoor,Grass,6,3,6,4,0,0
2235,Novak Djokovic,Daniil Medvedev,Outdoor,Grass,6,4,6,4,0,0
2236,Gael Monfils,Richard Gasquet,Outdoor,Grass,6,2,6,7,7,6
2237,Novak Djokovic,Donald Young,Outdoor,Grass,6,2,7,6,0,0
2238,Gael Monfils,Bernard Tomic,Outdoor,Grass,7,6,6,0,0,0
2239,Richard Gasquet,John Isner,Outdoor,Grass,6,3,6,2,0,0
2240,Daniil Medvedev,Steve Johnson,Outdoor,Grass,6,3,2,6,6,3
2241,Novak Djokovic,Vasek Pospisil,Outdoor,Grass,6,4,6,3,0,0
2242,Gael Monfils,Cameron Norrie,Outdoor,Grass,6,3,6,2,0,0
2243,John Isner,Dusan Lajovic,Outdoor,Grass,3,6,7,6,7,6
2244,Steve Johnson,Thomas Fabbiano,Outdoor,Grass,6,3,5,7,6,4
2245,Bernard Tomic,Mischa Zverev,Outdoor,Grass,6,3,6,2,0,0
2246,Richard Gasquet,Kevin Anderson,Outdoor,Grass,6,4,6,4,0,0
2247,Daniil Medvedev,Robin Haase,Outdoor,Grass,4,6,6,1,6,2
2248,Donald Young,Jared Donaldson,Outdoor,Grass,6,4,7,5,0,0
2249,Daniil Medvedev,Sam Querrey,Outdoor,Grass,6,3,7,5,0,0
2250,Mischa Zverev,Ryan Harrison,Outdoor,Grass,6,4,7,6,0,0
2251,Richard Gasquet,Frances Tiafoe,Outdoor,Grass,5,7,7,6,6,3
2252,Jared Donaldson,Diego Schwartzman,Outdoor,Grass,7,6,3,6,7,5
2253,Kevin Anderson,Thomaz Bellucci,Outdoor,Grass,6,3,6,1,0,0
2254,Thomas Fabbiano,Franko Skugor,Outdoor,Grass,7,6,6,4,0,0
2255,Robin Haase,Nicolas Mahut,Outdoor,Grass,6,4,7,6,0,0
2256,Dusan Lajovic,Jeremy Chardy,Outdoor,Grass,6,4,6,7,6,3
2257,Cameron Norrie,Horacio Zeballos,Outdoor,Grass,6,4,7,6,0,0
2258,Vasek Pospisil,Jiri Vesely,Outdoor,Grass,6,3,6,4,0,0
2259,Bernard Tomic,Norbert Gombos,Outdoor,Grass,7,6,6,3,0,0
2260,Donald Young,Kyle Edmund,Outdoor,Grass,6,4,3,6,6,3
2261,Vasek Pospisil,Ivan Dodig,Outdoor,Grass,(,W,0,0,0,0
2262,Franko Skugor,Andrey Kuznetsov,Outdoor,Grass,2,6,6,4,6,4
2263,Norbert Gombos,Luke Bambridge,Outdoor,Grass,6,2,6,2,0,0
2264,Thomas Fabbiano,Ti Chen,Outdoor,Grass,6,1,6,4,0,0
2265,Vasek Pospisil,James Ward,Outdoor,Grass,6,1,6,4,0,0
2266,Andrey Kuznetsov,Takanyi Garanganga,Outdoor,Grass,6,0,6,3,0,0
2267,Norbert Gombos,Luke Saville,Outdoor,Grass,6,4,7,6,0,0
2268,Thomas Fabbiano,Andres Molteni,Outdoor,Grass,6,1,6,1,0,0
2269,Franko Skugor,Jerzy Janowicz,Outdoor,Grass,7,6,7,6,0,0
2270,Ivan Dodig,Steven Diez,Outdoor,Grass,3,6,6,3,7,5
2271,Luke Bambridge,Marek Jaloviec,Outdoor,Grass,6,4,6,4,0,0
2272,Ti Chen,Michal Konecny,Outdoor,Grass,2,6,7,6,7,5
2273,Roger Federer,Marin Cilic,Outdoor,Grass,6,3,6,1,6,4
2274,Roger Federer,Tomas Berdych,Outdoor,Grass,7,6,7,6,6,4
2275,Marin Cilic,Sam Querrey,Outdoor,Grass,6,7,6,4,7,6
2276,Sam Querrey,Andy Murray,Outdoor,Grass,3,6,6,4,6,7
2277,Tomas Berdych,Novak Djokovic,Outdoor,Grass,7,6,2,0,(,R
2278,Roger Federer,Milos Raonic,Outdoor,Grass,6,4,6,2,7,6
2279,Marin Cilic,Gilles Muller,Outdoor,Grass,3,6,7,6,7,5
2280,Andy Murray,Benoit Paire,Outdoor,Grass,7,6,6,4,6,4
2281,Novak Djokovic,Adrian Mannarino,Outdoor,Grass,6,2,7,6,6,4
2282,Roger Federer,Grigor Dimitrov,Outdoor,Grass,6,4,6,2,6,4
2283,Gilles Muller,Rafael Nadal,Outdoor,Grass,6,3,6,4,3,6
2284,Milos Raonic,Alexander Zverev,Outdoor,Grass,4,6,7,5,4,6
2285,Marin Cilic,Roberto Bautista Agut,Outdoor,Grass,6,2,6,2,6,2
2286,Tomas Berdych,Dominic Thiem,Outdoor,Grass,6,3,6,7,6,3
2287,Sam Querrey,Kevin Anderson,Outdoor,Grass,5,7,7,6,6,3
2288,Andy Murray,Fabio Fognini,Outdoor,Grass,6,2,4,6,6,1
2289,Novak Djokovic,Ernests Gulbis,Outdoor,Grass,6,4,6,1,7,6
2290,Roger Federer,Mischa Zverev,Outdoor,Grass,7,6,6,4,6,4
2291,Rafael Nadal,Karen Khachanov,Outdoor,Grass,6,1,6,4,7,6
2292,Milos Raonic,Albert Ramos-Vinolas,Outdoor,Grass,7,6,6,4,7,5
2293,Marin Cilic,Steve Johnson,Outdoor,Grass,6,4,7,6,6,4
2294,Dominic Thiem,Jared Donaldson,Outdoor,Grass,7,5,6,4,6,2
2295,Roberto Bautista Agut,Kei Nishikori,Outdoor,Grass,6,4,7,6,3,6
2296,Alexander Zverev,Sebastian Ofner,Outdoor,Grass,6,4,6,4,6,2
2297,Tomas Berdych,David Ferrer,Outdoor,Grass,6,3,6,4,6,3
2298,Sam Querrey,Jo-Wilfried Tsonga,Outdoor,Grass,6,2,3,6,7,6
2299,Grigor Dimitrov,Dudi Sela,Outdoor,Grass,6,1,6,1,(,R
2300,Adrian Mannarino,Gael Monfils,Outdoor,Grass,7,6,4,6,5,7
2301,Gilles Muller,Aljaz Bedene,Outdoor,Grass,7,6,7,5,6,4
2302,Kevin Anderson,Ruben Bemelmans,Outdoor,Grass,7,6,6,4,7,6
2303,Benoit Paire,Jerzy Janowicz,Outdoor,Grass,6,2,7,6,6,3
2304,Andy Murray,Dustin Brown,Outdoor,Grass,6,3,6,2,6,2
2305,Novak Djokovic,Adam Pavlasek,Outdoor,Grass,6,2,6,2,6,1
2306,Roger Federer,Dusan Lajovic,Outdoor,Grass,7,6,6,3,6,2
2307,Rafael Nadal,Donald Young,Outdoor,Grass,6,4,6,2,7,5
